code,name,secondary_name,state,begin_date,end_date,campaign,result,latitude,longitude,coord_source,summary
AL001,Day's Gap,Sand Mountain,AL,4/30/1863,4/30/1863,Streight's Raid: Tuscumbia Alabama Toward Rome Geo,Union Victory,34.3096,-87.011,Wikidata Q3821512,"Union Col. Abel D. Streight led a provisional brigade on a raid to cut the Western & Atlantic Railroad that supplied Gen. Braxton Bragg’s Confederate army in Middle Tennessee. From Nashville, Tennessee, Streight’s command traveled to Eastport, Mississippi, and then proceeded east to Tuscumbia, Alabama, in conjunction with another Union force commanded by Brig. Gen. Grenville Dodge. On April 26, 1863, Streight’s men left Tuscumbia and marched southeast, their initial movements screened by Dodge’s troops. On April 30, Confederate Brig. Gen. Nathan Bedford Forrest’s brigade caught up with Streigh"
AL002,Athens,,AL,1/26/1864,1/26/1864,Operations in North Alabama,Union Victory,34.8033,-86.9722,Wikidata Q3327478,"Confederate cavalry, numbering about 600 men, attacked Athens, held by about 100 Union troops, around 4:00 am on the morning of January 26, 1864. After a two-hour battle, the Confederates retreated. Union forces, although greatly outnumbered and without fortifications, repulsed the attackers."
AL003,Mobile Bay,Passing of Forts Morgan and Gaines,AL,8/2/1864,8/23/1864,Burbridge's Raid into Southwest Virginia,Union Victory,30.240833333,-88.053055555,Wikidata Q1519203,"A combined Union force initiated operations to close Mobile Bay to blockade running. Some Union forces landed on Dauphin Island and laid siege to Fort Gaines. On August 5, Farragut’s Union fleet of eighteen ships entered Mobile Bay and received a devastating fire from Forts Gaines and Morgan and other points. After passing the forts, Farragut forced the Confederate naval forces, under Adm. Franklin Buchanan, to surrender, which effectively closed Mobile Bay. By August 23, Fort Morgan, the last big holdout, fell, shutting down the port. The city, however, remained uncaptured."
AL004,Decatur,,AL,10/26/1864,10/29/1864,Savannah Campaign,Union Victory,34.614,-86.986,Wikidata Q3775715,"As Gen. John B. Hood began the Franklin-Nashville Campaign during the fall of 1864, his Army of Tennessee demonstrated against Decatur, Alabama, October 26-29, in an attempt to cross the Tennessee River. Union forces, under the command of Brig. Gen. Robert S. Granger for most of the battle, numbered only about 5,000 men, but successfully prevented the much larger Confederate force from crossing the river."
AL005,Spanish Fort,,AL,3/27/1865,4/8/1865,Mobile Campaign,Union Victory,30.733055555,-87.720277777,Wikidata Q2184295,"Maj. Gen. E.R.S. Canby’s XIII and XVI corps moved along the eastern shore of Mobile Bay forcing the Confederates back into their defenses. Union forces then concentrated on Spanish Fort and Fort Blakely. On March 27, 1865, Canby’s forces rendezvoused at Danley’s Ferry and immediately undertook a siege of Spanish Fort. The Union had enveloped the fort by April 1, and on April 8 captured it. Most of the Confederate forces, under the command of Brig. Gen. Randall L. Gibson, escaped and fled to Mobile, but Spanish Fort was no longer a threat."
AL006,Fort Blakely,,AL,4/2/1865,4/9/1865,Mobile Campaign,Union Victory,,,,"E.R.S. Canby’s forces, the XVI and XIII corps, moved along the eastern shore of Mobile Bay, forcing the Confederates back into their defenses. Union forces then concentrated on Spanish Fort and Fort Blakely. By April 1, Union forces had enveloped Spanish Fort, thereby releasing more troops to focus on Fort Blakely. Brig. Gen. St. John R. Liddell, with about 4,000 men, held out against the much larger Union force until Spanish Fort fell on April 8, allowing Canby to concentrate 16,000 men for the attack on April 9. Sheer numbers breached the Confederate earthworks compelling the Confederates to"
AL007,Selma,,AL,4/2/1865,4/2/1865,Wilson's Raid: Chickasaw Alabama and Macon Georgia,Union Victory,32.426833333,-87.01415,Wikidata Q2313310,"Maj. Gen. James H. Wilson, commanding three divisions of Union cavalry, about 13,500 men, led his men south from Gravelly Springs, Alabama, on March 22, 1865. Opposed by Confederate Lt. Gen. Nathan B. Forrest, Wilson skillfully continued his march and eventually defeated him in a running battle at Ebenezer Church, on April 1. Continuing towards Selma, Wilson split his command into three columns. Although Selma was well-defended, the Union columns broke through the defenses at separate points forcing the Confederates to surrender the city, although many of the officers and men, including Forres"
AL008,Ebeneezer Church,,AL,,,,Union Victory,34.5620379,-87.7300318,"OpenStreetMap: Ebeneezer Church, County Road 58, Fairview, Franklin County, Alabama, 35654, United States",
AR001,Pea Ridge,Elkhorn Tavern,AR,3/6/1862,3/8/1862,Pea Ridge Campaign,Union Victory,36.454388888,-94.034694444,Wikidata Q193993,"On the night of March 6, Maj. Gen. Earl Van Dorn set out to outflank the Union position near Pea Ridge, dividing his army into two columns. Learning of Van Dorn’s approach, the Federals marched north to meet his advance on March 7. This movement’compounded by the killing of two generals, Brig. Gen. Ben McCulloch and Brig. Gen. James McQueen McIntosh, and the capture of their ranking colonel’halted the Rebel attack. Van Dorn led a second column to meet the Federals in the Elkhorn Tavern and Tanyard area. By nightfall, the Confederates controlled Elkhorn Tavern and Telegraph Road. The next day, "
AR002,Saint Charles,,AR,6/17/1862,6/17/1862,Operations on White River,Union Victory,34.378055555,-91.126111111,Wikidata Q2307727,"On the morning of June 17, USS Mound City, St. Louis, Lexington, Conestoga, and transports proceeded up White River towards Saint Charles attempting to resupply Maj. Gen. Samuel R. Curtis’s army near Jacksonport. A few miles below Saint Charles, the 46th Indiana Infantry under the command of Col. Graham N. Fitch disembarked, formed a skirmish line, and proceeded upriver towards the Rebel batteries on Saint Charles bluffs, under the command of Capt. Joseph Fry, C.S.N. At the same time, the Union gunboats went upriver to engage the Rebel batteries; Mound City was hit and her steam drum exploded "
AR003,Hill's Plantation,"Cache River, Cotton Plant, Round Hill",AR,7/7/1862,7/7/1862,Operations Near Cacke River Arkansas,Union Victory,35.0365,-91.293,Wikidata Q1834971,"Union Maj. Gen. Samuel R. Curtis moved on Helena, Arkansas, in search of supplies to replace those that had been promised but never delivered by the Navy. The Confederates under Maj. Gen. Thomas C. Hindman attempted to prevent this change of supply base by continually skirmishing with the Union troops. The Confederates made a stand at the Cache River on July 7. As Union Col. C.L. Harris moved forward with elements of the 11th Wisconsin, 33rd Illinois, and the 1st Indiana Cavalry, moved forward, he blundered into an ambuscade. The fighting became more general, and the Confederates, with a front"
AR004,Cane Hill,"Canehill, Boston Mountains",AR,11/28/1862,11/28/1862,Prairie Grove Campaign,Confederate Victory (tactical),33.3095652,-92.3043088,"OpenStreetMap: Cane Hill, Bradley County, Arkansas, 71651, United States","In late November, Maj. Gen. Thomas C. Hindman detached Brig. Gen. John Marmaduke’s cavalry from Van Buren north to occupy the Cane Hill area. Hearing of this movement, Brig. Gen. James Blunt advanced to meet Marmaduke’s command and destroy it, if possible. The Union vanguard encountered Col. Joe Shelby’s brigade, which fought a delaying action to protect their supply trains. Shelby gradually gave ground until establishing a strong defensive perimeter on Cove Creek where he repulsed a determined attack. The Federals withdrew to Cane Hill, while the Confederates returned to Van Buren. Although f"
