record_id,event_type,event_year,event_end_year,place_text,latitude,longitude,linked_event_ref,source
cw-regiments:us-al-cav-1,engagement,1863,,"Wauhatchie (Brown's Ferry), TN — engagement, 10/28/1863",35.009722222,-85.374444444,TN021,"NPS Civil War Soldiers and Sailors System, battle–unit links (from Dyer) and CWSAC battle summaries; coordinates Wikidata Q2501125"
cw-regiments:us-al-cav-1,engagement,1865,,"Averasborough (Taylor's Hole Creek, Smithville), NC — battle, 3/16/1865",35.2661,-78.6721,NC019,"NPS Civil War Soldiers and Sailors System, battle–unit links (from Dyer) and CWSAC battle summaries; coordinates Wikidata Q2887919"
cw-regiments:us-al-cav-1,engagement,1865,,"Bentonville (Bentonsville), NC — battle, 3/19/1865",35.3059,-78.3231,NC020,"NPS Civil War Soldiers and Sailors System, battle–unit links (from Dyer) and CWSAC battle summaries; coordinates Wikidata Q620244"
cw-regiments:us-ct-cav-1,engagement,1862,,"Cross Keys, VA — engagement, 6/8/1862",38.3579,-78.8438,VA105,"NPS Civil War Soldiers and Sailors System, battle–unit links (from Dyer) and CWSAC battle summaries; coordinates Wikidata Q1970207"
cw-regiments:us-ct-cav-1,engagement,1862,,"McDowell (Sitlingon's Hill), VA — engagement, 5/8/1862",38.3247,-79.4754,VA102,"NPS Civil War Soldiers and Sailors System, battle–unit links (from Dyer) and CWSAC battle summaries; coordinates Wikidata Q855913"
cw-regiments:us-ct-cav-1,engagement,1862,,"Port Republic, VA — engagement, 6/9/1862",38.3002,-78.7933,VA106,"NPS Civil War Soldiers and Sailors System, battle–unit links (from Dyer) and CWSAC battle summaries; coordinates Wikidata Q2602211"
cw-regiments:us-ct-cav-1,engagement,1864,,"Cedar Creek (Belle Grove), VA — engagement, 10/19/1864",39.0193,-78.3043,VA122,"NPS Civil War Soldiers and Sailors System, battle–unit links (from Dyer) and CWSAC battle summaries; coordinates Wikidata Q1710916"
cw-regiments:us-ct-cav-1,engagement,1864,,"Cold Harbor (Second Cold Harbor), VA — battle, 5/31/1864",37.59,-77.285,VA062,"NPS Civil War Soldiers and Sailors System, battle–unit links (from Dyer) and CWSAC battle summaries; coordinates Wikidata Q497797"
cw-regiments:us-ct-cav-1,engagement,1864,,"Opequon (Third Winchester), VA — engagement, 9/19/1864",39.1956,-78.1325,VA119,"NPS Civil War Soldiers and Sailors System, battle–unit links (from Dyer) and CWSAC battle summaries; coordinates Wikidata Q1626179"
cw-regiments:us-ct-cav-1,engagement,1864,,"Ream's Station I (Reams' Station), VA — engagement, 6/29/1864",37.0959,-77.4226,VA068,"NPS Civil War Soldiers and Sailors System, battle–unit links (from Dyer) and CWSAC battle summaries; coordinates Wikidata Q5452530"
cw-regiments:us-ct-cav-1,engagement,1864,,"Sappony Church (Stony Creek Depot), VA — engagement, 6/28/1864",36.94588889,-77.45305556,VA067,"NPS Civil War Soldiers and Sailors System, battle–unit links (from Dyer) and CWSAC battle summaries; coordinates Wikidata Q4872312"
cw-regiments:us-ct-cav-1,engagement,1864,,"Staunton River Bridge (Blacks and Whites, Old Men and Young Boys), VA — engagement, 6/25/1864",36.8857,-78.7044,VA113,"NPS Civil War Soldiers and Sailors System, battle–unit links (from Dyer) and CWSAC battle summaries; coordinates Wikidata Q4872435"
cw-regiments:us-ct-cav-1,engagement,1864,,"Tom's Brook (Woodstock Races), VA — engagement, 10/9/1864",38.9429,-78.4458,VA121,"NPS Civil War Soldiers and Sailors System, battle–unit links (from Dyer) and CWSAC battle summaries; coordinates Wikidata Q4872566"
cw-regiments:us-ct-cav-1,engagement,1864,,"Totopotomoy Creek (Bethesda Church, Crumps Creek, Matadequin Creek, Shady Grove Road, Hanovertown), VA — combat, 5/28/1864",37.634,-77.2987,VA057,"NPS Civil War Soldiers and Sailors System, battle–unit links (from Dyer) and CWSAC battle summaries; coordinates Wikidata Q152158"
cw-regiments:us-ct-cav-1,engagement,1864,,"Yellow Tavern, VA — combat, 5/11/1864",37.6599,-77.4552,VA052,"NPS Civil War Soldiers and Sailors System, battle–unit links (from Dyer) and CWSAC battle summaries; coordinates Wikidata Q176216"
cw-regiments:us-ct-cav-1,engagement,1865,,"Appomattox Court House, VA — engagement, 4/9/1865",37.3775,-78.796111111,VA097,"NPS Civil War Soldiers and Sailors System, battle–unit links (from Dyer) and CWSAC battle summaries; coordinates Wikidata Q1355391"
cw-regiments:us-ct-cav-1,engagement,1865,,"Appomattox Station, VA — engagement, 4/8/1865",37.35347222,-78.82730556,VA096,"NPS Civil War Soldiers and Sailors System, battle–unit links (from Dyer) and CWSAC battle summaries; coordinates Wikidata Q2438253"
cw-regiments:us-ct-cav-1,engagement,1865,,"Dinwiddie Court House, VA — engagement, 3/31/1865",37.07725,-77.58711,VA086,"NPS Civil War Soldiers and Sailors System, battle–unit links (from Dyer) and CWSAC battle summaries; coordinates Wikidata Q688807"
cw-regiments:us-ct-cav-1,engagement,1865,,"Five Forks, VA — battle, 4/1/1865",37.139444444,-77.622777777,VA088,"NPS Civil War Soldiers and Sailors System, battle–unit links (from Dyer) and CWSAC battle summaries; coordinates Wikidata Q194329"
cw-regiments:us-ct-cav-1,engagement,1865,,"Namozine Church, VA — action, 4/3/1865",37.24888889,-77.72555556,VA124,"NPS Civil War Soldiers and Sailors System, battle–unit links (from Dyer) and CWSAC battle summaries; coordinates Wikidata Q1840768"
