id,name,entity_key,record_kind,source,finding_aid_url,organized,mustered_out,history_excerpt
cw-regiments:us-al-inf-1,1st Alabama Infantry,US-AL-INF-1,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,Aug,"1st REGIMENT COLORED TN PANTRY. — Org. at Urge Mav 1. 1863. Mav. 1R63, Post Goodrich Landing. L»„ Dist. N. E. T*.. Dent. Tenn. Janv.. 1864, 1st Colored Brig, Dist. VMeshiirg. Miss, Dept. Tenn. Designation changed to 46th «'. «. Colored Troops May II. 1864. 2nd REFITMENT INFANTRY — Org. at SnringnVld. Mo. and Port Smith. Ark, Oct, 1862. Oct, 1862. I'natt, Dist. Frontier. Dept. Mo. Jany.. 1884. Unatt.. Dist. Frontier. 7 Corps. Dept. Ark. Janv, 1864, 2 Brig, Dist. Frontier, 7 Corps. Dept. Ark. M»v, 1864. 2 Brig, 2 Div, 7 Cnrps, Dent Ark. Dee. 1864. 1 Brig, Frontier Div, 7 Corp*. Dept. Ark. P-hv„ 1865. I Brig, 3 Div, 7 Corps, Dept. Ark. Mustered out Aug. 8. 1865."
cw-regiments:us-al-inf-3,3rd Alabama Infantry,US-AL-INF-3,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,,"3rd REGIMENT COLORED INFANTRY— Org. at P\ila«ki, Tenn, Jany. 13, 1864. Jany, 1864, Garrison Pulaski. Tenn. Designation changvd to 1 11th V. S. Col ored Troops, June 25, I8«4."
cw-regiments:us-al-inf-4,4th Alabama Infantry,US-AL-INF-4,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,,"4th REGIMENT INFANTRY. — Org. at Fort Smith. Ark, Jany. to May. 1864. Jany, 1864, Dist, N. E. Ark, Dept Ark. June. 1864, Fort Smith, Ark, Dist. Frontier, 7 Corps. Dent. Ark. Transferred to 2nd Arkansas Infantry Oct. 2, 1864."
cw-regiments:us-al-cav-1,1st Alabama Cavalry,US-AL-CAV-1,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,Aug,"1st REGIMENT CAVALRY.— Org. at Springfield, Mo, June 10. 18(12. June. I8B2, Dist. S. W. Mo, Dept. Mo. Oct., 1802, 1 Brig, 3 Div, Array Frontier, Dept. Mo. Dee, 1802. Inatt.. Army Frontier. Dept. Mo. June, 1863, Dist. S. W. Mo.. Dept. Mo. June, 18G4, 3 Brig, Frontier Div, 7 Corns, Dept. Ark. Frbv, I8«5. 2 Brig, 3 Div, 7 Corps, Dept. Ark Feby, 1H05, 1 Brig, 3 Div, 7 Corps, Dept. Ark. Mustered out Aug. 22. 1865."
cw-regiments:us-al-cav-2,2nd Alabama Cavalry,US-AL-CAV-2,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,,"2nd REGIMENT CAVALRY. — Org. at Springfield and Pilot Knob, Mo.. July, 18H2. July, 1802, Dist. S. W. Mo, Dept. Mo. Jnlv, 1862, Helena, Ark, Dist. Eastern Ark, Dept. Mo. Dec], I*«2. 2 Brig, 3 Cav. Div, Dist. Eastern Ark, Dept. Tenn. Jany . 18fi3, 2 Brig, 2 Cav. Div, 13 Corps. Dept. Tenn. April,' 1863, 2 Brig, Cav. Div, Dist. Eastern Ark.. Dept. Tenn. May. 1803, Dist. S. W. Mo, Dept. Mo. Di-e, 186-1, Dist. West. Tenn, Dept. Tenn. Febv, 1S63. 1 Brig.. Cav. Div, Dist. West Tenn. Mus- tered out Aug 20. 1865."
cw-regiments:us-al-cav-3,3rd Alabama Cavalry,US-AL-CAV-3,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,,"3rd REGIMENT CAVALRY.— Org. at Little Rock. Ark, Febv.. 1864. Febv, 1884, Little Rock, Ark, 7 Corps, Dept. Ark. Mav. 1864, 3 Brig.. 2 Div, 7 Corps, Dept. Ark. Sept, 1861, 4 Brig.. Cav. Div, 7 Corps. Feby. 1885, Post l.cwi»l>ilrg. Ark. Musterrd out June 30, 1865."
cw-regiments:us-al-cav-4,4th Alabama Cavalry,US-AL-CAV-4,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,June 30,"4th REGIMENT CAVALRY.— Org. at Urge Dec, 1863. Dee.. 1803. Post Little Roek, Ark, Dept. Ark. May. 1804, •I Brig.. Cav. Div, ' Corps, Dept. Ark. Sept, 1864, 3 Brig, 1 Div, 7 Corps, Dept. Ark. Feby, 1805, L'naasignrd, 7 Corps, Dept. Ark. Feny, 1885, Cav. Brig, Post Little Kock. Ark. Mustered out June 30. 1865."
cw-regiments:us-al-la-art-1,1st Alabama Light Artillery,US-AL-LA-ART-1,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,Aug,"1st BATTERY LIGHT ARTILLERY. — Org. at Spring- field. Mo, Aug 31, 18*13. Aug, 1863, Dist. 8. W. Mo, Dept. Mo. March, 1864, 2 Brig, Dist. Frontier, 7 Corps, Dept. Ark. Febv, 1865, Artv, 3 Div, 7 Corps, Dept. Ark. Feby, 1865. 1 Brig, 3 Div, 7 Corps, Dept. Ark. Mustered out Aug. 10. 1865. 1st COLORED BATTERY LIGHT ARTILLERY. -Org. at Pine Bluff, Ark, June 4, 1864. June, 1864, Post Pine BhifT, Ark, 7 Corps, Dept. Ark. Designation changed to Battv. ""H,"" 2nd f. S. Colored Light Artillery, Dee. IS, 1864'"
cw-regiments:us-al-unk-2,2nd Alabama 0o1,US-AL-UNK-2,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,,"2nd REGIMENT 0O1.OHED INFANTRY. — Org. In Ar- kansas at large Kept. 4. 1863. Rent, 1863. Dist Bast. Ark, Dept. ArV-. Janv, 1864. Dist. Fast, Ark, 7 Corps. Dept. Ark. Designation changed to 54th t\ S. Colored Troops, Mareh II. 1884."
cw-regiments:us-al-unk-3,3rd Alabama Cot,US-AL-UNK-3,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,,"3rd REGIMENT COT.ORED INFANTRY. — Org. at St. Louis. Mo, Aug. 12. 1863. Sept, 1863. Dist. East. Ark, Dept. Ark. .Tsnv, 1864. Dist. East. Ark, 7 Corps, Dept. Ark. Designation changed to 66th U. S. Colored Troops March 11. 1864."
