confidence,ship,arrival_year,passenger,passenger_birth,passenger_death,individual,individual_id,individual_birth,individual_death,reasons
strong,Mayflower,1620,Edward Winslow,1595,1655,Edward Winslow,I142438290107,1595,1655,"name matches exactly (Edward Winslow); birth 1595 and 1595 agree within 0; death 1655 and 1655 agree within 0; alive in 1620, when the Mayflower arrived"
strong,Mayflower,1620,Elizabeth Tilley,1607,1687,Elizabeth Tilley,I142216920917,1607,1687,"name matches exactly (Elizabeth Tilley); birth 1607 and 1607 agree within 0; death 1687 and 1687 agree within 0; alive in 1620, when the Mayflower arrived"
strong,Mayflower,1620,Francis Cooke,1583,1663,Francis Cooke,I142105438169,1582,1663,"name matches exactly (Francis Cooke); birth 1583 and 1582 agree within 1; death 1663 and 1663 agree within 0; alive in 1620, when the Mayflower arrived"
strong,Mayflower,1620,Francis Eaton,1596,1633,Francis Eaton,I142328724312,,1633,name matches exactly (Francis Eaton); death 1633 and 1633 agree within 0
strong,Mayflower,1620,James Chilton,1556,1620,James Chilton,I142613215930,1563,1620,"name matches exactly (James Chilton); death 1620 and 1620 agree within 0; alive in 1620, when the Mayflower arrived"
strong,Mayflower,1620,John Alden,1599,1687,John Alden,I142309436599,1599,1687,"name matches exactly (John Alden); birth 1599 and 1599 agree within 0; death 1687 and 1687 agree within 0; alive in 1620, when the Mayflower arrived"
strong,Mayflower,1620,John Howland,1591,1673,John Howland,I142216920915,1592,1672,"name matches exactly (John Howland); birth 1591 and 1592 agree within 1; death 1673 and 1672 agree within 1; alive in 1620, when the Mayflower arrived"
strong,Mayflower,1620,John Tilley,1571,1620,John Tilley,I142250275994,1571,1620,"name matches exactly (John Tilley); birth 1571 and 1571 agree within 0; death 1620 and 1620 agree within 0; alive in 1620, when the Mayflower arrived"
strong,Mayflower,1620,Mary Chilton,1607,1679,Mary Chilton,I142250565450,1593,1679,"name matches exactly (Mary Chilton); death 1679 and 1679 agree within 0; alive in 1620, when the Mayflower arrived"
strong,Mayflower,1620,Peregrine White,1620,1704,Peregrine White,I142436078119,1620,,"name matches exactly (Peregrine White); birth 1620 and 1620 agree within 0; alive in 1620, when the Mayflower arrived"
strong,Mayflower,1620,Resolved White,1615,1690,Resolved White,I142436077914,1615,1687,"name matches exactly (Resolved White); birth 1615 and 1615 agree within 0; death 1690 and 1687 agree within 3; alive in 1620, when the Mayflower arrived"
strong,Mayflower,1620,Richard Warren,1578,1628,Richard Warren,I142305437022,1578,1628,"name matches exactly (Richard Warren); birth 1578 and 1578 agree within 0; death 1628 and 1628 agree within 0; alive in 1620, when the Mayflower arrived"
strong,Mayflower,1620,Samuel Fuller,1580,1633,Samuel Fuller,I1631833408,1580,1633,"name matches exactly (Samuel Fuller); birth 1580 and 1580 agree within 0; death 1633 and 1633 agree within 0; alive in 1620, when the Mayflower arrived"
